Datum,Filial_ID,Artikel,Verkauf_Ist,Forecast
2024-04-01,ÖS04,Artikel_020,35,40
2024-04-01,ÖS04,Artikel_002,38,42
2024-04-01,ÖS04,Artikel_008,28,28
2024-04-01,ÖS05,Artikel_001,29,30
2024-04-01,ÖS05,Artikel_015,26,26
2024-04-01,ÖS05,Artikel_005,23,26
2024-04-01,ÖS05,Artikel_010,35,34
2024-04-01,ÖS05,Artikel_020,18,19
2024-04-01,ÖS06,Artikel_012,31,26
2024-04-01,ÖS06,Artikel_004,35,37
2024-04-01,ÖS06,Artikel_020,29,31
2024-04-01,ÖS06,Artikel_001,28,31
2024-04-01,ÖS06,Artikel_011,23,28
2024-04-01,ÖS07,Artikel_001,33,35
2024-04-01,ÖS07,Artikel_015,31,27
2024-04-01,ÖS07,Artikel_012,28,28
2024-04-01,ÖS07,Artikel_013,17,18
2024-04-01,ÖS07,Artikel_007,30,33
2024-04-01,ÖS08,Artikel_014,30,30
2024-04-01,ÖS08,Artikel_008,28,25
2024-04-01,ÖS08,Artikel_019,32,38
2024-04-01,ÖS08,Artikel_002,30,27
2024-04-01,ÖS08,Artikel_009,33,35
2024-04-01,ÖS09,Artikel_014,41,40
2024-04-01,ÖS09,Artikel_002,28,35
2024-04-01,ÖS09,Artikel_017,41,35
2024-04-01,ÖS09,Artikel_004,24,25
2024-04-01,ÖS09,Artikel_010,20,19
2024-04-01,SC00,Artikel_008,36,35
2024-04-01,SC00,Artikel_020,22,24
2024-04-01,SC00,Artikel_002,32,36
2024-04-01,SC00,Artikel_005,26,28
2024-04-01,SC00,Artikel_010,34,35
2024-04-01,SC01,Artikel_009,28,29
2024-04-01,SC01,Artikel_005,27,27
2024-04-01,SC01,Artikel_013,34,39
2024-04-01,SC01,Artikel_003,22,25
2024-04-01,SC01,Artikel_017,27,28
2024-04-01,SC02,Artikel_002,28,30
2024-04-01,SC02,Artikel_014,42,43
2024-04-01,SC02,Artikel_009,32,30
2024-04-01,SC02,Artikel_004,33,30
2024-04-01,SC02,Artikel_017,35,36
2024-04-01,SC03,Artikel_007,19,18
2024-04-01,SC03,Artikel_012,29,28
2024-04-01,SC03,Artikel_006,23,23
2024-04-01,SC03,Artikel_017,32,34
2024-04-01,SC03,Artikel_019,33,32
2024-04-01,SC04,Artikel_015,28,27
2024-04-01,SC04,Artikel_002,35,36
2024-04-01,SC04,Artikel_009,29,30
2024-04-01,SC04,Artikel_012,19,18
2024-04-01,SC04,Artikel_016,22,24
2024-04-01,SC05,Artikel_003,44,52
2024-04-01,SC05,Artikel_012,26,27
2024-04-01,SC05,Artikel_016,20,21
2024-04-01,SC05,Artikel_017,32,40
2024-04-01,SC05,Artikel_015,31,30
2024-04-01,SC06,Artikel_002,17,21
2024-04-01,SC06,Artikel_003,26,25
2024-04-01,SC06,Artikel_007,29,28
2024-04-01,SC06,Artikel_011,33,35
2024-04-01,SC06,Artikel_005,27,25
2024-04-01,SC07,Artikel_013,42,46
2024-04-01,SC07,Artikel_002,32,37
2024-04-01,SC07,Artikel_019,31,31
2024-04-01,SC07,Artikel_010,36,32
2024-04-01,SC07,Artikel_017,37,36
2024-04-01,SC08,Artikel_013,29,30
2024-04-01,SC08,Artikel_009,25,27
2024-04-01,SC08,Artikel_016,32,34
2024-04-01,SC08,Artikel_017,30,29
2024-04-01,SC08,Artikel_007,30,37
2024-04-01,SC09,Artikel_008,37,45
2024-04-01,SC09,Artikel_014,23,25
2024-04-01,SC09,Artikel_009,33,39
2024-04-01,SC09,Artikel_004,23,26
2024-04-01,SC09,Artikel_010,28,24
2024-04-01,FR00,Artikel_010,39,46
2024-04-01,FR00,Artikel_005,28,29
2024-04-01,FR00,Artikel_018,30,32
2024-04-01,FR00,Artikel_019,30,31
2024-04-01,FR00,Artikel_017,32,34
2024-04-01,FR01,Artikel_014,24,22
2024-04-01,FR01,Artikel_012,38,36
2024-04-01,FR01,Artikel_016,24,26
2024-04-01,FR01,Artikel_002,24,24
2024-04-01,FR01,Artikel_009,25,23
2024-04-01,FR02,Artikel_012,30,29
2024-04-01,FR02,Artikel_019,19,20
2024-04-01,FR02,Artikel_007,35,34
2024-04-01,FR02,Artikel_015,28,27
2024-04-01,FR02,Artikel_004,32,38
2024-04-01,FR03,Artikel_004,30,30
2024-04-01,FR03,Artikel_011,22,19
2024-04-01,FR03,Artikel_017,26,27
2024-04-01,FR03,Artikel_007,25,30
2024-04-01,FR03,Artikel_005,35,39
2024-04-01,FR04,Artikel_013,21,25
2024-04-01,FR04,Artikel_019,29,32
2024-04-01,FR04,Artikel_004,26,29
2024-04-01,FR04,Artikel_001,28,34
2024-04-01,FR04,Artikel_006,32,31
2024-04-01,FR05,Artikel_004,24,24
2024-04-01,FR05,Artikel_018,20,21
2024-04-01,FR05,Artikel_010,22,22
2024-04-01,FR05,Artikel_016,36,39
2024-04-01,FR05,Artikel_019,40,38
2024-04-01,FR06,Artikel_011,31,30
2024-04-01,FR06,Artikel_005,27,29
2024-04-01,FR06,Artikel_009,30,32
2024-04-01,FR06,Artikel_012,26,24
2024-04-01,FR06,Artikel_008,23,22
2024-04-01,FR07,Artikel_003,27,28
2024-04-01,FR07,Artikel_009,27,30
2024-04-01,FR07,Artikel_008,34,31
2024-04-01,FR07,Artikel_015,29,32
2024-04-01,FR07,Artikel_010,23,23
2024-04-01,FR08,Artikel_003,41,43
2024-04-01,FR08,Artikel_012,31,32
2024-04-01,FR08,Artikel_008,23,23
2024-04-01,FR08,Artikel_007,24,24
2024-04-01,FR08,Artikel_004,33,37
2024-04-01,FR09,Artikel_012,28,28
2024-04-01,FR09,Artikel_009,29,25
2024-04-01,FR09,Artikel_007,34,34
2024-04-01,FR09,Artikel_019,28,30
2024-04-01,FR09,Artikel_011,32,36
2024-04-01,BE00,Artikel_003,23,25
2024-04-01,BE00,Artikel_004,38,48
2024-04-01,BE00,Artikel_011,23,26
2024-04-01,BE00,Artikel_001,27,26
2024-04-01,BE00,Artikel_009,22,22
2024-04-01,BE01,Artikel_014,35,33
2024-04-01,BE01,Artikel_017,25,28
2024-04-01,BE01,Artikel_015,33,39
2024-04-01,BE01,Artikel_013,26,22
2024-04-01,BE01,Artikel_005,29,34
2024-04-01,BE02,Artikel_016,23,29
2024-04-01,BE02,Artikel_015,40,42
2024-04-01,BE02,Artikel_017,33,40
2024-04-01,BE02,Artikel_011,29,34
2024-04-01,BE02,Artikel_007,40,38
2024-04-01,BE03,Artikel_010,23,23
2024-04-01,BE03,Artikel_014,37,32
2024-04-01,BE03,Artikel_009,18,21
2024-04-01,BE03,Artikel_003,35,33
2024-04-01,BE03,Artikel_007,31,27
2024-04-01,BE04,Artikel_009,27,27
2024-04-01,BE04,Artikel_005,25,30
2024-04-01,BE04,Artikel_012,23,17
2024-04-01,BE04,Artikel_014,39,40
2024-04-01,BE04,Artikel_020,31,31
2024-04-01,BE05,Artikel_019,30,28
2024-04-01,BE05,Artikel_001,20,21
2024-04-01,BE05,Artikel_006,25,25
2024-04-01,BE05,Artikel_011,31,31
2024-04-01,BE05,Artikel_003,30,36
2024-04-01,BE06,Artikel_013,28,28
2024-04-01,BE06,Artikel_011,28,28
2024-04-01,BE06,Artikel_006,32,36
2024-04-01,BE06,Artikel_003,25,29
2024-04-01,BE06,Artikel_010,35,32
2024-04-01,BE07,Artikel_018,22,24
2024-04-01,BE07,Artikel_008,36,33
2024-04-01,BE07,Artikel_013,25,27
2024-04-01,BE07,Artikel_001,24,27
2024-04-01,BE07,Artikel_002,36,37
2024-04-01,BE08,Artikel_001,26,23
2024-04-01,BE08,Artikel_013,32,35
2024-04-01,BE08,Artikel_014,31,33
2024-04-01,BE08,Artikel_007,35,36
2024-04-01,BE08,Artikel_020,37,39
2024-04-01,BE09,Artikel_019,29,30
2024-04-01,BE09,Artikel_020,26,23
2024-04-01,BE09,Artikel_007,23,25
2024-04-01,BE09,Artikel_009,24,25
2024-04-01,BE09,Artikel_012,26,24
2024-04-01,NI00,Artikel_001,32,34
2024-04-01,NI00,Artikel_002,32,36
2024-04-01,NI00,Artikel_004,29,28
2024-04-01,NI00,Artikel_007,24,25
2024-04-01,NI00,Artikel_003,21,20
2024-04-01,NI01,Artikel_001,26,23
2024-04-01,NI01,Artikel_016,34,32
2024-04-01,NI01,Artikel_006,34,44
2024-04-01,NI01,Artikel_014,31,40
2024-04-01,NI01,Artikel_005,27,28
2024-04-01,NI02,Artikel_019,22,23
2024-04-01,NI02,Artikel_014,33,40
2024-04-01,NI02,Artikel_015,26,28
2024-04-01,NI02,Artikel_013,26,29
2024-04-01,NI02,Artikel_005,28,29
2024-04-01,NI03,Artikel_002,24,26
2024-04-01,NI03,Artikel_018,37,40
2024-04-01,NI03,Artikel_005,33,38
2024-04-01,NI03,Artikel_008,26,28
2024-04-01,NI03,Artikel_001,24,25
2024-04-01,NI04,Artikel_020,39,36
2024-04-01,NI04,Artikel_012,41,47
2024-04-01,NI04,Artikel_005,27,28
2024-04-01,NI04,Artikel_013,25,25
2024-04-01,NI04,Artikel_014,20,23
2024-04-01,NI05,Artikel_010,19,18
2024-04-01,NI05,Artikel_009,31,35
2024-04-01,NI05,Artikel_012,38,34
2024-04-01,NI05,Artikel_003,25,26
2024-04-01,NI05,Artikel_004,41,47
2024-04-01,NI06,Artikel_017,35,44
2024-04-01,NI06,Artikel_012,35,35
2024-04-01,NI06,Artikel_018,29,29
2024-04-01,NI06,Artikel_013,28,28
2024-04-01,NI06,Artikel_001,26,27
2024-04-01,NI07,Artikel_010,28,30
2024-04-01,NI07,Artikel_006,35,40
2024-04-01,NI07,Artikel_011,41,42
2024-04-01,NI07,Artikel_001,32,34
2024-04-01,NI07,Artikel_008,32,35
2024-04-01,NI08,Artikel_001,25,24
2024-04-01,NI08,Artikel_004,35,34
2024-04-01,NI08,Artikel_016,28,27
2024-04-01,NI08,Artikel_015,36,39
2024-04-01,NI08,Artikel_019,25,30
2024-04-01,NI09,Artikel_013,26,31
2024-04-01,NI09,Artikel_014,33,34
2024-04-01,NI09,Artikel_011,28,27
2024-04-01,NI09,Artikel_019,34,33
2024-04-01,NI09,Artikel_002,37,39
2024-04-01,PO00,Artikel_008,30,30
2024-04-01,PO00,Artikel_005,33,38
2024-04-01,PO00,Artikel_004,26,28
2024-04-01,PO00,Artikel_020,33,38
2024-04-01,PO00,Artikel_009,33,39
2024-04-01,PO01,Artikel_012,24,26
2024-04-01,PO01,Artikel_003,37,38
2024-04-01,PO01,Artikel_011,27,28
2024-04-01,PO01,Artikel_013,24,25
2024-04-01,PO01,Artikel_009,32,37
2024-04-01,PO02,Artikel_003,32,32
2024-04-01,PO02,Artikel_012,34,36
2024-04-01,PO02,Artikel_005,44,48
2024-04-01,PO02,Artikel_017,22,23
2024-04-01,PO02,Artikel_019,33,38
2024-04-01,PO03,Artikel_005,20,18
2024-04-01,PO03,Artikel_007,27,26
2024-04-01,PO03,Artikel_013,34,36
2024-04-01,PO03,Artikel_014,30,29
2024-04-01,PO03,Artikel_008,29,35
2024-04-01,PO04,Artikel_006,24,22
2024-04-01,PO04,Artikel_016,21,23
2024-04-01,PO04,Artikel_015,32,35
2024-04-01,PO04,Artikel_012,29,30
2024-04-01,PO04,Artikel_010,28,29
2024-04-01,PO05,Artikel_006,38,40
2024-04-01,PO05,Artikel_004,25,23
2024-04-01,PO05,Artikel_019,37,44
2024-04-01,PO05,Artikel_002,46,49
2024-04-01,PO05,Artikel_009,34,37
2024-04-01,PO06,Artikel_013,23,24
2024-04-01,PO06,Artikel_015,35,39
2024-04-01,PO06,Artikel_010,22,21
2024-04-01,PO06,Artikel_014,25,30
2024-04-01,PO06,Artikel_001,19,21
2024-04-01,PO07,Artikel_015,27,26
2024-04-01,PO07,Artikel_007,28,24
2024-04-01,PO07,Artikel_006,33,37
2024-04-01,PO07,Artikel_018,35,33
2024-04-01,PO07,Artikel_002,23,24
2024-04-01,PO08,Artikel_004,32,32
2024-04-01,PO08,Artikel_002,27,28
2024-04-01,PO08,Artikel_007,21,19
2024-04-01,PO08,Artikel_015,31,31
2024-04-01,PO08,Artikel_001,35,41
2024-04-01,PO09,Artikel_012,18,20
2024-04-01,PO09,Artikel_010,33,37
2024-04-01,PO09,Artikel_013,27,30
2024-04-01,PO09,Artikel_016,31,38
2024-04-01,PO09,Artikel_003,30,29
2024-04-01,TS00,Artikel_011,21,20
2024-04-01,TS00,Artikel_008,37,37
2024-04-01,TS00,Artikel_016,24,25
2024-04-01,TS00,Artikel_014,31,39
2024-04-01,TS00,Artikel_012,25,25
2024-04-01,TS01,Artikel_004,37,32
2024-04-01,TS01,Artikel_011,34,31
2024-04-01,TS01,Artikel_015,37,33
2024-04-01,TS01,Artikel_020,29,33
2024-04-01,TS01,Artikel_007,38,39
2024-04-01,TS02,Artikel_003,26,31
2024-04-01,TS02,Artikel_010,34,40
2024-04-01,TS02,Artikel_019,24,25
2024-04-01,TS02,Artikel_011,26,30
2024-04-01,TS02,Artikel_016,29,33
2024-04-01,TS03,Artikel_019,24,21
2024-04-01,TS03,Artikel_007,46,42
2024-04-01,TS03,Artikel_003,35,40
2024-04-01,TS03,Artikel_014,25,26
2024-04-01,TS03,Artikel_002,27,24
2024-04-01,TS04,Artikel_002,29,34
2024-04-01,TS04,Artikel_007,24,27
2024-04-01,TS04,Artikel_012,33,35
2024-04-01,TS04,Artikel_017,31,33
2024-04-01,TS04,Artikel_011,25,26
2024-04-01,TS05,Artikel_008,30,31
2024-04-01,TS05,Artikel_016,16,17
2024-04-01,TS05,Artikel_020,27,28
2024-04-01,TS05,Artikel_001,16,18
2024-04-01,TS05,Artikel_007,29,31
2024-04-01,TS06,Artikel_016,30,34
2024-04-01,TS06,Artikel_010,25,23
2024-04-01,TS06,Artikel_018,47,46
2024-04-01,TS06,Artikel_013,37,45
2024-04-01,TS06,Artikel_007,33,35
2024-04-01,TS07,Artikel_010,30,32
2024-04-01,TS07,Artikel_001,37,42
2024-04-01,TS07,Artikel_018,25,29
2024-04-01,TS07,Artikel_019,28,30
2024-04-01,TS07,Artikel_017,37,36
2024-04-01,TS08,Artikel_006,31,31
2024-04-01,TS08,Artikel_016,27,30
2024-04-01,TS08,Artikel_012,35,35
2024-04-01,TS08,Artikel_015,36,42
2024-04-01,TS08,Artikel_013,31,29
2024-04-01,TS09,Artikel_005,28,25
2024-04-01,TS09,Artikel_015,28,27
2024-04-01,TS09,Artikel_009,25,22
2024-04-01,TS09,Artikel_006,32,31
2024-04-01,TS09,Artikel_012,28,35
2024-04-01,DÄ00,Artikel_008,30,27
2024-04-01,DÄ00,Artikel_017,31,27
2024-04-01,DÄ00,Artikel_010,32,35
2024-04-01,DÄ00,Artikel_019,43,48
2024-04-01,DÄ00,Artikel_012,24,27
2024-04-01,DÄ01,Artikel_010,27,29
2024-04-01,DÄ01,Artikel_001,30,28
2024-04-01,DÄ01,Artikel_014,35,32
2024-04-01,DÄ01,Artikel_005,27,25
2024-04-01,DÄ01,Artikel_012,29,33
2024-04-01,DÄ02,Artikel_002,24,25
2024-04-01,DÄ02,Artikel_017,33,30
2024-04-01,DÄ02,Artikel_018,31,32
2024-04-01,DÄ02,Artikel_006,35,38
2024-04-01,DÄ02,Artikel_005,42,44
2024-04-01,DÄ03,Artikel_009,25,26
2024-04-01,DÄ03,Artikel_005,32,29
2024-04-01,DÄ03,Artikel_020,35,34
2024-04-01,DÄ03,Artikel_014,36,35
2024-04-01,DÄ03,Artikel_018,32,34
2024-04-01,DÄ04,Artikel_016,31,34
2024-04-01,DÄ04,Artikel_007,25,27
2024-04-01,DÄ04,Artikel_013,32,31
2024-04-01,DÄ04,Artikel_011,31,28
2024-04-01,DÄ04,Artikel_010,33,40
2024-04-01,DÄ05,Artikel_019,23,22
2024-04-01,DÄ05,Artikel_012,34,34
2024-04-01,DÄ05,Artikel_014,24,24
2024-04-01,DÄ05,Artikel_007,25,26
2024-04-01,DÄ05,Artikel_015,20,19
2024-04-01,DÄ06,Artikel_013,25,27
2024-04-01,DÄ06,Artikel_011,30,34
2024-04-01,DÄ06,Artikel_020,27,32
2024-04-01,DÄ06,Artikel_015,29,31
2024-04-01,DÄ06,Artikel_014,24,25
2024-04-01,DÄ07,Artikel_008,21,19
2024-04-01,DÄ07,Artikel_012,34,39
2024-04-01,DÄ07,Artikel_007,40,44
2024-04-01,DÄ07,Artikel_013,28,32
2024-04-01,DÄ07,Artikel_006,30,31
2024-04-01,DÄ08,Artikel_014,21,22
2024-04-01,DÄ08,Artikel_012,35,36
2024-04-01,DÄ08,Artikel_010,26,22
2024-04-01,DÄ08,Artikel_017,28,30
2024-04-01,DÄ08,Artikel_016,32,33
2024-04-01,DÄ09,Artikel_017,28,31
2024-04-01,DÄ09,Artikel_016,37,36
2024-04-01,DÄ09,Artikel_010,21,24
2024-04-01,DÄ09,Artikel_015,24,25
2024-04-01,DÄ09,Artikel_012,32,33
2024-04-01,LU00,Artikel_005,23,24
2024-04-01,LU00,Artikel_013,32,36
2024-04-01,LU00,Artikel_019,24,22
2024-04-01,LU00,Artikel_014,28,28
2024-04-01,LU00,Artikel_002,45,47
2024-04-01,LU01,Artikel_008,29,24
2024-04-01,LU01,Artikel_004,32,38
2024-04-01,LU01,Artikel_005,23,26
2024-04-01,LU01,Artikel_013,35,37
2024-04-01,LU01,Artikel_019,23,23
2024-04-01,LU02,Artikel_001,27,27
2024-04-01,LU02,Artikel_020,36,38
2024-04-01,LU02,Artikel_015,27,21
2024-04-01,LU02,Artikel_012,23,26
2024-04-01,LU02,Artikel_008,29,27
2024-04-01,LU03,Artikel_004,36,31
2024-04-01,LU03,Artikel_003,35,34
2024-04-01,LU03,Artikel_016,34,26
2024-04-01,LU03,Artikel_009,30,31
2024-04-01,LU03,Artikel_013,22,24
2024-04-01,LU04,Artikel_006,29,30
2024-04-01,LU04,Artikel_013,23,22
2024-04-01,LU04,Artikel_005,34,31
2024-04-01,LU04,Artikel_020,29,25
2024-04-01,LU04,Artikel_014,35,34
2024-04-01,LU05,Artikel_008,26,32
2024-04-01,LU05,Artikel_016,29,32
2024-04-01,LU05,Artikel_003,32,34
2024-04-01,LU05,Artikel_018,20,21
2024-04-01,LU05,Artikel_007,30,29
2024-04-01,LU06,Artikel_018,16,16
2024-04-01,LU06,Artikel_002,20,21
2024-04-01,LU06,Artikel_010,43,39
2024-04-01,LU06,Artikel_006,27,25
2024-04-01,LU06,Artikel_007,33,38
2024-04-01,LU07,Artikel_020,26,29
2024-04-01,LU07,Artikel_014,26,23
2024-04-01,LU07,Artikel_017,25,30
2024-04-01,LU07,Artikel_002,32,35
2024-04-01,LU07,Artikel_019,35,44
2024-04-01,LU08,Artikel_007,31,34
2024-04-01,LU08,Artikel_001,23,26
2024-04-01,LU08,Artikel_015,40,37
2024-04-01,LU08,Artikel_020,29,24
2024-04-01,LU08,Artikel_012,41,42
2024-04-01,LU09,Artikel_009,38,38
2024-04-01,LU09,Artikel_008,26,26
2024-04-01,LU09,Artikel_012,34,36
2024-04-01,LU09,Artikel_010,36,40
2024-04-01,LU09,Artikel_002,24,28
2024-04-02,DE00,Artikel_007,17,18
2024-04-02,DE00,Artikel_002,36,35
2024-04-02,DE00,Artikel_008,30,32
2024-04-02,DE00,Artikel_019,31,37
2024-04-02,DE00,Artikel_014,27,30
2024-04-02,DE01,Artikel_020,32,34
2024-04-02,DE01,Artikel_003,24,24
2024-04-02,DE01,Artikel_007,35,33
2024-04-02,DE01,Artikel_017,31,28
2024-04-02,DE01,Artikel_010,28,30
2024-04-02,DE02,Artikel_002,31,30
2024-04-02,DE02,Artikel_019,43,47
2024-04-02,DE02,Artikel_001,27,30
2024-04-02,DE02,Artikel_009,29,29
2024-04-02,DE02,Artikel_010,38,34
2024-04-02,DE03,Artikel_013,33,28
2024-04-02,DE03,Artikel_017,32,31
2024-04-02,DE03,Artikel_014,32,41
2024-04-02,DE03,Artikel_011,31,38
2024-04-02,DE03,Artikel_015,33,38
2024-04-02,DE04,Artikel_010,26,25
2024-04-02,DE04,Artikel_017,19,19
2024-04-02,DE04,Artikel_014,35,37
2024-04-02,DE04,Artikel_016,29,34
2024-04-02,DE04,Artikel_013,27,28
2024-04-02,DE05,Artikel_019,32,33
2024-04-02,DE05,Artikel_016,32,37
2024-04-02,DE05,Artikel_018,22,24
2024-04-02,DE05,Artikel_007,36,44
2024-04-02,DE05,Artikel_011,24,28
2024-04-02,DE06,Artikel_004,27,28
2024-04-02,DE06,Artikel_009,27,23
2024-04-02,DE06,Artikel_014,26,28
2024-04-02,DE06,Artikel_013,29,28
2024-04-02,DE06,Artikel_010,23,24
2024-04-02,DE07,Artikel_019,29,35
2024-04-02,DE07,Artikel_008,35,33
2024-04-02,DE07,Artikel_010,34,36
2024-04-02,DE07,Artikel_001,43,44
2024-04-02,DE07,Artikel_004,26,26
2024-04-02,DE08,Artikel_014,39,44
2024-04-02,DE08,Artikel_012,29,28
2024-04-02,DE08,Artikel_003,19,15
2024-04-02,DE08,Artikel_017,27,30
2024-04-02,DE08,Artikel_009,41,36
2024-04-02,DE09,Artikel_010,26,25
2024-04-02,DE09,Artikel_011,25,27
2024-04-02,DE09,Artikel_018,32,33
2024-04-02,DE09,Artikel_004,22,21
2024-04-02,DE09,Artikel_006,37,35
2024-04-02,ÖS00,Artikel_009,30,32
2024-04-02,ÖS00,Artikel_015,20,22
2024-04-02,ÖS00,Artikel_011,31,29
2024-04-02,ÖS00,Artikel_008,37,28
2024-04-02,ÖS00,Artikel_001,29,32
2024-04-02,ÖS01,Artikel_004,19,23
2024-04-02,ÖS01,Artikel_014,35,34
2024-04-02,ÖS01,Artikel_002,24,23
2024-04-02,ÖS01,Artikel_011,34,36
2024-04-02,ÖS01,Artikel_008,37,37
2024-04-02,ÖS02,Artikel_009,25,28
2024-04-02,ÖS02,Artikel_013,31,32
2024-04-02,ÖS02,Artikel_016,22,22
2024-04-02,ÖS02,Artikel_019,25,29
2024-04-02,ÖS02,Artikel_007,26,32
2024-04-02,ÖS03,Artikel_003,35,40
2024-04-02,ÖS03,Artikel_007,39,42
2024-04-02,ÖS03,Artikel_016,35,33
2024-04-02,ÖS03,Artikel_014,23,21
2024-04-02,ÖS03,Artikel_011,29,31
2024-04-02,ÖS04,Artikel_003,21,22
2024-04-02,ÖS04,Artikel_020,32,38
2024-04-02,ÖS04,Artikel_012,38,44
2024-04-02,ÖS04,Artikel_008,36,47
2024-04-02,ÖS04,Artikel_015,33,38
2024-04-02,ÖS05,Artikel_017,29,30
2024-04-02,ÖS05,Artikel_001,30,28
2024-04-02,ÖS05,Artikel_002,22,21
2024-04-02,ÖS05,Artikel_019,23,27
2024-04-02,ÖS05,Artikel_005,32,32
2024-04-02,ÖS06,Artikel_006,27,29
2024-04-02,ÖS06,Artikel_001,32,33
2024-04-02,ÖS06,Artikel_002,33,33
2024-04-02,ÖS06,Artikel_012,24,25
2024-04-02,ÖS06,Artikel_011,25,28
2024-04-02,ÖS07,Artikel_019,33,30
2024-04-02,ÖS07,Artikel_004,27,29
2024-04-02,ÖS07,Artikel_005,37,39
2024-04-02,ÖS07,Artikel_016,35,38
2024-04-02,ÖS07,Artikel_014,33,33
2024-04-02,ÖS08,Artikel_008,22,25
2024-04-02,ÖS08,Artikel_009,31,32
2024-04-02,ÖS08,Artikel_016,29,31
2024-04-02,ÖS08,Artikel_003,26,27
2024-04-02,ÖS08,Artikel_002,34,32
2024-04-02,ÖS09,Artikel_002,36,41
2024-04-02,ÖS09,Artikel_020,37,40
2024-04-02,ÖS09,Artikel_019,21,25
2024-04-02,ÖS09,Artikel_005,27,25
2024-04-02,ÖS09,Artikel_017,34,32
2024-04-02,SC00,Artikel_016,38,43
2024-04-02,SC00,Artikel_011,38,46
2024-04-02,SC00,Artikel_017,20,21
2024-04-02,SC00,Artikel_008,32,37
2024-04-02,SC00,Artikel_019,33,35
2024-04-02,SC01,Artikel_002,30,34
2024-04-02,SC01,Artikel_018,27,29
2024-04-02,SC01,Artikel_001,38,45
2024-04-02,SC01,Artikel_012,32,38
2024-04-02,SC01,Artikel_003,25,28
2024-04-02,SC02,Artikel_004,22,27
2024-04-02,SC02,Artikel_010,42,43
2024-04-02,SC02,Artikel_016,34,33
2024-04-02,SC02,Artikel_005,26,27
2024-04-02,SC02,Artikel_018,29,29
2024-04-02,SC03,Artikel_017,30,29
2024-04-02,SC03,Artikel_005,32,33
2024-04-02,SC03,Artikel_009,25,22
2024-04-02,SC03,Artikel_016,22,23
